exchange,type,table,base,quote,usd_volume
Binance,spot,binance_pivx_usdt_1m,pivx,usdt,1413307.1176000002
Binance,spot,binance_vic_usdt_1m,vic,usdt,1104501.1010100003
Binance,spot,binance_blur_usdt_1m,blur,usdt,1514941.783717
Binance,spot,binance_vanry_usdt_1m,vanry,usdt,1462078.8394500003
Binance,spot,binance_jto_usdt_1m,jto,usdt,3315546.8991
Binance,spot,binance_1000sats_usdt_1m,1000sats,usdt,3397747.4788616756
Binance,spot,binance_bonk_usdt_1m,bonk,usdt,21126752.117444064
Binance,spot,binance_nfp_usdt_1m,nfp,usdt,985997.9524999999
Binance,spot,binance_arb_usdc_1m,arb,usdc,2441205.792595
Binance,spot,binance_avax_usdc_1m,avax,usdc,10568106.181249999
Binance,spot,binance_dot_usdc_1m,dot,usdc,9066547.213794999
Binance,spot,binance_inj_usdc_1m,inj,usdc,3124997.0459000003
Binance,spot,binance_ai_usdt_1m,ai,usdt,1552441.611705
Binance,spot,binance_xai_usdt_1m,xai,usdt,2171513.85622
Binance,spot,binance_manta_usdt_1m,manta,usdt,2520555.2262349995
Binance,spot,binance_alt_usdt_1m,alt,usdt,1992714.957095
Binance,spot,binance_blur_usdc_1m,blur,usdc,114793.690044
Binance,spot,binance_jup_usdt_1m,jup,usdt,5386805.615495
Binance,spot,binance_alt_usdc_1m,alt,usdc,241525.71559500002
Binance,spot,binance_sei_usdc_1m,sei,usdc,2788710.62639
Binance,spot,binance_ronin_usdt_1m,ronin,usdt,1909477.2662049998
Binance,spot,binance_dym_usdt_1m,dym,usdt,807719.51095
Binance,spot,binance_jup_usdc_1m,jup,usdc,934583.954665
Binance,spot,binance_strk_usdt_1m,strk,usdt,6145798.0146845
Binance,spot,binance_wld_usdc_1m,wld,usdc,4378697.610400001
Binance,spot,binance_portal_usdt_1m,portal,usdt,1189862.189355
Binance,spot,binance_axl_usdt_1m,axl,usdt,1623462.1306054997
Binance,spot,binance_pixel_usdc_1m,pixel,usdc,128161.8225425
Binance,spot,binance_strk_usdc_1m,strk,usdc,779475.0426469999
Binance,spot,binance_wif_usdt_1m,wif,usdt,28503803.228140004
Binance,spot,binance_shib_usdc_1m,shib,usdc,3101386.982535595
Binance,spot,binance_metis_usdt_1m,metis,usdt,1646479.1015150002
Binance,spot,binance_near_usdc_1m,near,usdc,4067803.1074000006
Binance,spot,binance_aevo_usdt_1m,aevo,usdt,1923523.1767705
Binance,spot,binance_fet_usdc_1m,fet,usdc,3622165.3782500005
Binance,spot,binance_ethfi_usdt_1m,ethfi,usdt,15570204.912050001
Binance,spot,binance_bonk_usdc_1m,bonk,usdc,3817877.04142967
Binance,spot,binance_floki_usdc_1m,floki,usdc,810588.5405323248
Binance,spot,binance_ena_usdt_1m,ena,usdt,40920878.266937494
Binance,spot,binance_pendle_usdc_1m,pendle,usdc,1373994.0975499998
Binance,spot,binance_w_usdt_1m,w,usdt,4411551.719394999
Binance,spot,binance_bome_usdc_1m,bome,usdc,399907.9918405
Binance,spot,binance_jto_usdc_1m,jto,usdc,409007.7605
Binance,spot,binance_wif_usdc_1m,wif,usdc,3148099.2435999997
Binance,spot,binance_tnsr_usdt_1m,tnsr,usdt,590563.2081350001
Binance,spot,binance_saga_usdt_1m,saga,usdt,1944532.9424049999
Binance,spot,binance_ckb_usdc_1m,ckb,usdc,356533.6567105
Binance,spot,binance_ena_usdc_1m,ena,usdc,5817197.255290001
Binance,spot,binance_ethfi_usdc_1m,ethfi,usdc,908976.28185
Binance,spot,binance_ygg_usdc_1m,ygg,usdc,184940.373115
Binance,spot,binance_tao_usdt_1m,tao,usdt,28331957.302425
Binance,spot,binance_cfx_usdc_1m,cfx,usdc,318910.5778999999
Binance,spot,binance_saga_usdc_1m,saga,usdc,223902.281285
Binance,spot,binance_apt_usdc_1m,apt,usdc,3030531.47945
Binance,spot,binance_gala_usdc_1m,gala,usdc,956813.1820699999
Binance,spot,binance_stx_usdc_1m,stx,usdc,598143.8429
Binance,spot,binance_icp_usdc_1m,icp,usdc,1300653.359885
Binance,spot,binance_bb_usdt_1m,bb,usdt,2789490.3188650003
Binance,spot,binance_trb_usdc_1m,trb,usdc,655468.41611
Binance,spot,binance_not_usdt_1m,not,usdt,2341462.7546945
